county,Brush,Grass,Timber,Woodland,Other,year,region
Alameda,1,3347,0,110,0,2015,north
Amador,2,70878,2,10,0,2015,north
Butte,0,15,0,1,0,2015,north
Calaveras,21,111,11,148,2,2015,south
Colusa,0,79,0,0,0,2015,north
Contra Costa,0,363,0,0,0,2015,north
Del Norte,0,1,5,0,0,2015,north
E. San Joaquin,0,23,0,0,0,2015,south
E. Stanislaus,0,111,0,6,0,2015,south
E. Trinity,14,3,31,3391,0,2015,north
El Dorado,33,160,7,75,101,2015,north
Fresno,18,329,8,32,6,2015,south
Glenn,0,2,0,1,0,2015,north
Humboldt,311,30,667,2647,0,2015,north
Inyo,1,1,0,7000,0,2015,south
Kings,0,2,0,0,0,2015,south
Lake,977,43,145709,25120,0,2015,north
Lassen,48,90,4,72,1,2015,north
Madera,1,1143,3,0,4,2015,south
Mariposa,0,44,3,63,3,2015,south
Mendocino,3,56,273,23,9,2015,north
Merced,2,3782,0,5,0,2015,south
Modoc,62,0,121,1,0,2015,north
Monterey,1102,30,1,67,6,2015,south
Napa,8092,77,2,2,0,2015,north
Nevada,16,2352,4,22,102,2015,north
Placer,3,81,13,100,2,2015,north
Plumas,0,0,2,0,0,2015,north
Riverside,1072,81,0,103,0,2015,south
Sacramento,0,606,0,0,0,2015,north
San Benito,701,63,5,0,0,2015,south
San Bernardino,38,10,1,3,1,2015,south
San Diego,63,144,3,19,0,2015,south
San Joaquin,0,64,0,1,0,2015,north
San Luis Obispo,1890,2535,4,34,0,2015,south
San Mateo,0,35,1,1,0,2015,north
Santa Clara,42,122,3,16,0,2015,north
Santa Cruz,1,3,5,1,0,2015,north
Shasta,6,370,58,255,79,2015,north
Sierra,0,0,1,0,0,2015,north
Siskiyou,3,468,11,31,2,2015,north
Solano,150,38,1,2,0,2015,north
Sonoma,1,119,5,3,1,2015,north
Sutter,0,0,0,0,0,2015,north
Tehama,104,183,2,247,0,2015,north
Tulare,32,662,1,3,42,2015,south
Tuolumne,3,42,103,214,206,2015,south
W. San Joaquin,0,52,0,0,0,2015,north
W. Stanislaus,0,29,30,4,0,2015,north
Yolo,4,110,0,0,0,2015,north
Yuba,0,41,1,30,0,2015,north
